"","id","predicted"
"1",972,29.0474072913909
"2",464,29.1119573557478
"3",23,29.0169769055443
"4",818,29.1165583535893
"5",573,28.9072598523891
"6",284,29.0230815529323
"7",643,29.0587767418713
"8",335,29.0296820536271
"9",488,29.0606526692222
"10",218,29.0219081711614
"11",563,28.9904842696358
"12",351,29.0627451773706
"13",169,29.1351936202643
"14",446,29.012249815478
"15",1003,29.0563897957723
"16",1094,29.0371942190032
"17",433,29.2157601099646
"18",1091,28.9064734141248
"19",983,29.0028471622332
"20",361,29.0796999858682
"21",179,28.9546399413477
"22",893,29.0560667051716
"23",176,28.9200691698596
"24",406,28.9108289071272
"25",567,28.8929034116923
"26",569,29.0690867070254
"27",892,28.9426986388693
"28",295,29.0945184801115
"29",774,29.1170059655967
"30",1063,29.0791471064825
"31",55,29.1293457255114
"32",836,28.9260857980562
"33",761,28.9890374306863
"34",601,29.1456302366908
"35",904,29.1709644196973
"36",887,29.0746575341281
"37",52,29.0902076592364
"38",265,28.9667365330725
"39",190,29.0824544859402
"40",349,29.072609708948
"41",156,28.986940715676
"42",943,29.0733625607764
"43",371,29.1178821479936
"44",775,29.0569257604367
"45",557,29.2055559472015
"46",354,28.9801043084509
"47",1051,29.135125164152
"48",912,29.1711848584075
"49",896,29.1002880001686
"50",785,29.1340742260967
"51",333,29.0333457515659
"52",581,29.0015855966471
"53",326,29.0741610252475
"54",886,28.9771540237724
"55",538,28.9128874123497
"56",228,28.9862929259529
"57",263,29.0944290574749
"58",964,29.1131411076957
"59",628,29.0112951101187
"60",140,29.0181617366529
"61",787,29.1755982636053
"62",798,29.0440843910855
"63",14,29.244734024857
"64",925,29.0500070373584
"65",93,29.0567188698723
"66",994,29.0345971996941
"67",805,28.9585102432781
"68",644,29.0280368416288
"69",478,29.179948540027
"70",1049,28.9619501355601
"71",50,29.0870863686599
"72",812,29.0755338292623
"73",43,29.0802688344954
"74",291,29.0653115915789
"75",341,29.036385605854
"76",997,28.9345256481627
"77",648,29.1394303214527
"78",592,29.0856878770971
"79",106,28.9961575561697
"80",990,29.1173070314177
"81",959,29.0250031689342
"82",923,29.1052469144471
"83",613,29.0830487784353
"84",239,29.1059021924104
"85",711,29.0259707182314
"86",4,29.1018525453507
"87",225,29.0706370216085
"88",718,29.0620829362736
"89",728,29.0131261219774
"90",208,29.0351412008097
"91",1088,28.9963881528847
"92",980,28.9776081035845
"93",514,29.0554757534675
"94",136,29.059254398756
"95",1103,29.0411939897833
"96",329,28.8568562357977
"97",267,29.0228636242397
"98",15,28.9904449915083
"99",336,29.0073929466283
"100",264,29.1351134082106
"101",256,28.8996015033107
"102",439,28.9219873463179
"103",905,28.9869678883767
"104",387,29.1372232313304
"105",857,29.0741652180527
"106",376,28.9702446449622
"107",396,29.0203740330658
"108",809,29.0549988017003
"109",920,29.0114625154771
"110",672,29.186529906972
"111",59,29.0805887742231
"112",1024,28.992193710137
"113",204,28.9392291495949
"114",12,28.9873228116883
"115",346,28.977584400662
"116",511,28.9756050251926
"117",3,29.0407719612974
"118",767,29.0248511655007
"119",297,29.0365521619292
"120",296,29.0321544961357
"121",855,29.1245714601604
"122",749,28.9109932615659
"123",393,28.993620819406
"124",308,29.0848185081382
"125",474,29.0016234616703
"126",653,28.9730318447812
"127",246,29.0660277301996
"128",26,29.1573751505918
"129",83,29.1437260131287
"130",610,29.1258169518175
"131",270,28.9915613663954
"132",1077,29.0027561064721
"133",1070,29.0525742402853
"134",165,28.8476798985023
"135",508,29.1892952763844
"136",423,29.1462424196941
"137",100,28.9079462477623
"138",72,29.0019300961527
"139",317,28.8904022568482
"140",468,29.0058191968044
"141",31,29.0421856035412
"142",484,29.0406737553237
"143",1076,28.9892764414985
